iter	Passed	Remaining
0	2	2237
1	4	2438
2	7	2565
3	9	2427
4	11	2377
5	14	2428
6	16	2371
7	18	2323
8	20	2291
9	22	2261
10	25	2250
11	27	2226
12	29	2205
13	31	2190
14	33	2171
15	35	2158
16	37	2150
17	39	2144
18	41	2131
19	43	2126
20	45	2120
21	47	2114
22	49	2106
23	51	2100
24	53	2098
25	55	2095
26	57	2088
27	60	2086
28	62	2080
29	64	2073
30	66	2066
31	68	2068
32	70	2068
33	72	2066
34	75	2075
35	78	2090
36	80	2084
37	82	2094
38	84	2088
39	86	2086
40	89	2084
41	91	2079
42	93	2078
43	95	2073
44	97	2069
45	99	2065
46	101	2064
47	103	2062
48	106	2058
49	108	2055
50	110	2050
51	112	2044
52	114	2040
53	116	2037
54	118	2039
55	120	2038
56	123	2038
57	125	2041
58	127	2037
59	129	2032
60	131	2028
61	133	2025
62	135	2021
63	138	2018
64	140	2016
65	142	2012
66	144	2009
67	146	2006
68	149	2010
69	151	2009
70	153	2007
71	155	2007
72	157	2004
73	160	2003
74	162	2000
75	164	1997
76	166	1995
77	168	1995
78	170	1992
79	172	1989
80	175	1988
81	177	1982
82	179	1978
83	180	1972
84	182	1969
85	185	1967
86	187	1965
87	189	1962
88	191	1958
89	193	1953
90	195	1948
91	197	1946
92	199	1942
93	201	1939
94	203	1934
95	205	1930
96	207	1928
97	209	1924
98	211	1920
99	212	1916
100	214	1913
101	216	1910
102	218	1905
103	220	1900
104	222	1895
105	224	1891
106	226	1887
107	227	1882
108	229	1878
109	231	1875
110	233	1871
111	235	1866
112	237	1863
113	239	1859
114	241	1855
115	242	1851
116	244	1848
117	247	1846
118	248	1843
119	250	1840
120	252	1836
121	254	1834
122	256	1831
123	258	1828
124	260	1824
125	262	1820
126	264	1817
127	266	1815
128	268	1812
129	270	1809
130	272	1806
131	274	1804
132	276	1802
133	278	1799
134	280	1796
135	282	1793
136	284	1790
137	287	1798
138	289	1795
139	291	1792
140	293	1789
141	295	1786
142	297	1784
143	299	1782
144	301	1780
145	303	1776
146	305	1773
147	307	1770
148	309	1767
149	311	1764
150	313	1761
151	315	1759
152	317	1756
153	319	1752
154	320	1749
155	322	1747
156	324	1744
157	326	1742
158	328	1739
159	330	1736
160	332	1734
161	334	1732
162	336	1729
163	338	1727
164	340	1723
165	342	1721
166	344	1718
167	346	1715
168	348	1713
169	350	1710
170	352	1707
171	354	1705
172	356	1702
173	358	1700
174	359	1696
175	361	1693
176	363	1690
177	365	1687
178	367	1684
179	369	1682
180	371	1681
181	373	1679
182	375	1677
183	377	1674
184	379	1672
185	381	1670
186	383	1667
187	385	1665
188	387	1663
189	389	1660
190	391	1657
191	393	1654
192	395	1652
193	397	1650
194	399	1647
195	401	1645
196	403	1642
197	405	1640
